City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Linxia,CN,2021-04-07 19:35:49,35.6003,103.2064,44.1,71,7,0.94
172,Vardo,NO,2021-04-07 19:35:49,70.3705,31.1107,30.2,80,20,13.8
173,Rocha,UY,2021-04-07 19:35:50,-34.4833,-54.3333,77.76,60,3,10.45
174,Tuktoyaktuk,CA,2021-04-07 19:34:40,69.4541,-133.0374,-7.6,77,40,5.75
175,Iqaluit,CA,2021-04-07 19:34:45,63.7506,-68.5145,33.8,86,90,34.52
176,Kruisfontein,ZA,2021-04-07 19:34:39,-34.0033,24.7314,63.0,85,100,5.06
177,Langxiang,CN,2021-04-07 19:35:51,46.95,128.8833,18.59,59,5,4.63
178,Novo Aripuana,BR,2021-04-07 19:35:51,-5.1206,-60.3797,85.59,68,89,1.07
179,Solginskiy,RU,2021-04-07 19:35:51,61.05,41.3428,38.21,92,100,9.98
180,Manggar,ID,2021-04-07 19:35:51,-2.8833,108.2667,79.9,85,100,9.26
181,Nome,US,2021-04-07 19:33:15,64.5011,-165.4064,1.0,60,1,6.91
182,Fairbanks,US,2021-04-07 19:32:22,64.8378,-147.7164,9.0,85,20,2.17
183,Kovdor,RU,2021-04-07 19:35:52,67.5662,30.4758,27.97,96,100,3.62
184,Asyut,EG,2021-04-07 19:35:52,27.181,31.1837,78.8,24,0,9.22
185,Chokurdakh,RU,2021-04-07 19:34:45,70.6333,147.9167,-16.73,95,100,2.3
186,Kinablangan,PH,2021-04-07 19:35:53,7.6947,126.5503,76.98,87,28,6.31
187,Ulladulla,AU,2021-04-07 19:35:53,-35.35,150.4667,62.01,100,40,3.42
188,Vestmannaeyjar,IS,2021-04-07 19:35:53,63.4427,-20.2734,34.56,94,100,6.29
189,Tommot,RU,2021-04-07 19:35:53,58.9564,126.2925,-6.38,95,69,3.09
190,Hasaki,JP,2021-04-07 19:31:17,35.7333,140.8333,50.0,81,75,10.36
191,Mount Gambier,AU,2021-04-07 19:31:47,-37.8333,140.7667,53.6,94,4,9.22
192,Sur,OM,2021-04-07 19:35:54,22.5667,59.5289,79.74,44,0,7.43
193,Cairns,AU,2021-04-07 19:35:54,-16.9167,145.7667,77.0,88,40,5.75
194,Brae,GB,2021-04-07 19:35:55,60.3964,-1.353,35.6,60,75,9.22
195,Malinyi,TZ,2021-04-07 19:35:55,-8.9333,36.1333,71.22,92,68,2.46
196,Paramonga,PE,2021-04-07 19:31:09,-10.6667,-77.8333,74.57,75,69,10.76
197,Tongren,CN,2021-04-07 19:35:56,27.7172,109.1853,51.53,94,73,3.83
198,High Level,CA,2021-04-07 19:35:56,58.5169,-117.136,33.8,86,90,4.61
199,Constitucion,CL,2021-04-07 19:32:05,-35.3333,-72.4167,62.38,69,100,13.2
200,Khuzhir,RU,2021-04-07 19:35:57,53.1939,107.3397,26.08,88,72,6.13
201,Westport,US,2021-04-07 19:35:57,41.1415,-73.3579,63.0,41,1,8.05
202,Koslan,RU,2021-04-07 19:35:57,63.4564,48.8989,36.46,83,100,7.43
203,Adrar,MR,2021-04-07 19:35:58,20.5022,-10.0711,84.47,15,4,5.86
204,Zhigansk,RU,2021-04-07 19:35:58,66.7697,123.3711,6.22,90,100,20.27
205,Asau,RO,2021-04-07 19:35:58,46.4333,26.4,35.01,80,40,5.75
206,Narsaq,GL,2021-04-07 19:31:52,60.9167,-46.05,44.6,45,20,9.22
207,Newport,GB,2021-04-07 19:35:59,51.5877,-2.9984,41.0,65,90,5.75
208,Knysna,ZA,2021-04-07 19:35:59,-34.0363,23.0471,60.8,100,90,4.61
