City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
559,Xam Nua,LA,20.4197,104.0439,63.28,94,11,2.17,few clouds
560,Simplicio Mendes,BR,-7.8539,-41.9103,98.47,21,81,8.99,broken clouds
561,Anloga,GH,5.7947,0.8973,87.8,70,20,11.5,few clouds
562,Katsuura,JP,35.1333,140.3,53.01,54,73,3.0,broken clouds
563,Nishihara,JP,26.1842,127.7558,66.2,72,20,5.75,few clouds
564,Taoudenni,ML,22.6783,-3.9836,96.64,10,0,14.92,clear sky
565,College,US,64.8569,-147.8028,3.0,84,20,2.19,few clouds
566,Miyako,JP,39.6367,141.9525,39.83,70,4,6.96,clear sky
567,Kouango,CF,4.9934,19.9619,83.08,52,87,4.54,overcast clouds
568,Chara,RU,56.9064,118.2631,22.35,88,69,1.83,light snow
569,Quatre Cocos,MU,-20.2078,57.7625,81.0,78,75,8.05,broken clouds
570,Porto Novo,BJ,6.4965,2.6036,87.8,74,20,12.66,few clouds
571,Eruwa,NG,7.5333,3.4167,95.0,49,20,9.22,few clouds
572,Trinidad,BO,-14.8333,-64.9,84.2,79,75,8.05,broken clouds
573,Tessalit,ML,20.1986,1.0114,91.26,6,78,9.35,broken clouds
574,Kayerkan,RU,69.3497,87.7602,1.69,99,91,3.42,overcast clouds
575,Ostersund,SE,63.1792,14.6357,30.99,69,20,13.8,few clouds
576,Udachnyy,RU,66.4167,112.4,21.94,96,100,6.8,overcast clouds
577,Saint-Joseph,RE,-21.3667,55.6167,80.6,78,75,4.61,light rain
578,Nang Rong,TH,14.6377,102.7914,84.99,89,54,5.5,broken clouds
579,Fonte Boa,BR,-2.4959,-66.2662,86.31,66,93,1.86,overcast clouds
580,Albury,AU,-36.0833,146.9167,60.01,100,2,3.2,clear sky
581,Saint-Augustin,CA,51.226,-58.6502,43.21,94,99,12.66,overcast clouds
582,Waitati,NZ,-45.75,170.5667,50.0,97,18,1.99,few clouds
583,Samarai,PG,-10.6167,150.6667,80.46,78,83,5.55,broken clouds
584,Santa Cruz Del Sur,CU,20.7147,-77.9956,86.63,44,91,6.82,overcast clouds
585,Zaysan,KZ,47.4667,84.8667,44.42,70,9,4.85,clear sky
586,Blagoyevo,RU,63.3667,47.9167,35.96,87,100,8.72,overcast clouds
587,Ulaangom,MN,49.9811,92.0667,41.94,31,12,1.74,few clouds
588,Guayaramerin,BO,-10.8368,-65.3614,91.4,52,40,4.61,scattered clouds
589,Deputatskiy,RU,69.3,139.9,-13.41,93,98,2.28,overcast clouds
590,Hervey Bay,AU,-25.2986,152.8535,68.0,90,1,1.01,clear sky
591,Dunedin,NZ,-45.8742,170.5036,50.0,92,12,1.01,few clouds
